subid,dot,dob,gender,hisp,ethnicity,english,numlang,parented,othered,premie,xcalib,ycalib,consent,age,agegroup,exclude
071912_04,7/18/12,3/18/10,2,NaN,NaN,3,2,6,4,1,0.81,1.6,0,2.34,2,0
071912_05,7/18/12,9/3/09,1,2,5,5,1,6,5,1,2.33,0.78,1,2.87,2,0
072312_01,7/23/12,6/28/10,2,2,5,6,1,5,5,1,5.58,7.74,1,2.07,2,0
072312_02,7/23/12,9/26/09,1,2,5,6,1,4,4,1,0.87,1.26,1,2.82,2,0
072312_03,7/23/12,7/23/10,1,2,6,2,2,6,4,2,0.37,1.16,1,2,2,0
072312_04,7/23/12,5/19/09,1,2,5,6,1,6,4,1,1.7,1.26,0,3.18,3,0
072312_05,7/23/12,7/6/10,1,2,5,6,1,6,6,1,0.5,0.51,1,2.05,2,0
072312_06,7/23/12,12/1/10,2,2,5,2,2,6,6,1,0.41,1.5,1,1.64,1,0
072312_07,7/23/12,12/21/08,2,2,2,4,2,6,6,1,0.39,0.66,1,3.59,3,0
072312_08,7/23/12,NaN,2,2,2,5,2,6,6,1,0.98,0.68,1,NaN,NaN,0
072412_01,7/24/12,6/13/09,2,2,6,5,2,6,6,1,0.13,0.78,1,3.12,3,0
072412_02,7/24/12,5/26/08,1,2,5,6,1,6,6,1,0.91,1.09,1,4.16,4,0
072412_03,7/24/12,11/24/09,2,2,5,2,2,4,3,1,1.99,0.64,1,2.67,2,0
072412_04,7/24/12,5/17/09,2,2,5,6,1,6,6,1,0.46,0.8,0,3.19,3,0
072412_05,7/24/12,11/19/07,2,2,5,6,1,6,4,1,1.35,6.75,1,4.68,4,0
072412_06,7/24/12,7/20/09,2,2,6,4,3,3,2,1,0.68,0.87,1,3.01,3,0
072412_07,7/24/12,7/6/09,2,2,5,6,1,4,3,1,1.46,0.9,1,3.05,3,0
072512_02,7/25/12,5/18/11,1,2,5,6,1,4,4,1,1.49,2.83,0,1.19,1,0
072512_03,7/25/12,1/13/10,1,2,5,6,1,6,6,1,2.01,1.13,1,2.53,2,0
072512_04,7/25/12,10/29/10,1,2,5,6,1,4,6,1,0.47,2.59,1,1.74,1,0
072512_05,7/25/12,5/7/08,1,2,5,6,1,6,6,1,2.33,1.64,1,4.22,4,0
072512_06,7/25/12,11/16/07,1,2,6,5,1,6,6,1,3.6,1.06,1,4.69,4,0
072512_07,7/25/12,4/30/09,1,2,5,5,2,3,3,1,1.19,3.06,1,3.24,3,0
072512_08,7/25/12,10/16/09,1,2,5,5,2,6,6,1,0.91,0.85,1,2.78,2,0
072512_09,7/25/12,8/16/09,2,1,5,6,1,4,5,1,0.52,1.94,1,2.94,2,0
072512_10,7/25/12,1/27/08,2,2,2,6,2,4,4,1,0.44,1.14,1,4.5,4,0
072512_11,7/25/12,8/29/10,2,2,6,6,2,3,4,1,0.22,0.66,1,1.91,1,0
072512_12,7/25/12,5/15/08,1,2,5,6,1,6,3,1,2.73,3.29,1,4.2,4,0
072512_15,7/25/12,8/26/11,1,1,6,4,3,6,6,1,18.26,11.84,1,0.92,0,0
072512_17,7/25/12,2/25/11,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.48,1.79,1,1.41,1,0
072512_18,7/25/12,7/12/10,2,2,NaN,5,3,6,4,1,0.5,0.7,1,2.04,2,0
072512_19,7/25/12,4/25/11,1,2,2,2,2,6,4,1,1.06,0.74,1,1.25,1,3
072612_01,7/26/12,10/10/09,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.52,4.15,0,2.79,2,0
072612_02,7/26/12,10/7/10,1,2,2,3,2,4,4,1,1.24,2.27,1,1.8,1,0
072612_03,7/26/12,5/6/10,1,2,6,6,1,6,6,1,0.96,0.7,1,2.22,2,0
072612_04,7/26/12,1/24/11,1,2,5,2,2,NaN,NaN,1,1.8,2.08,1,1.5,1,0
072612_05,7/26/12,10/26/07,2,1,5,6,1,6,4,1,2.19,3.28,1,4.75,4,0
072612_06,7/26/12,3/28/08,2,2,5,6,1,6,6,1,0.85,1.25,1,4.33,4,0
072612_07,7/26/12,7/17/09,2,2,5,6,1,6,6,1,0.52,0.54,1,3.03,3,0
073012_01,7/30/12,12/17/09,1,2,5,6,1,6,4,1,2.66,5.94,1,2.62,2,0
073012_02,7/30/12,,,,,,,,,,NaN,NaN,1,NaN,NaN,0
073012_03,7/30/12,5/9/08,NaN,2,6,6,1,4,3,1,1.71,1.31,0,4.23,4,0
073012_04,7/30/12,6/10/08,1,2,5,6,1,4,4,1,2.74,1.15,1,4.14,4,0
073012_05,7/30/12,5/19/10,2,2,5,6,1,4,4,1,3.44,3.55,1,2.2,2,0
073012_06,7/30/12,12/27/07,1,2,5,6,1,6,4,1,1.41,1.48,1,4.59,4,0
073012_07,7/30/12,7/1/09,1,2,6,6,1,4,4,1,0.4,1.97,1,3.08,3,0
073012_08,7/30/12,3/20/09,1,2,5,6,1,3,2,1,6.38,3.75,1,3.36,3,0
073012_09,7/30/12,5/23/08,1,2,5,6,1,6,4,1,0.44,0.75,1,4.19,4,0
073012_10,7/30/12,12/7/08,2,2,2,5,2,4,6,1,3.86,5.56,0,3.65,3,0
073112_01,7/31/12,1/17/09,2,2,5,5,2,6,6,1,0.45,0.57,1,3.54,3,0
073112_02,7/31/12,2/1/08,2,1,5,5,3,6,2,1,5.12,8.39,0,4.5,4,0
073112_03,7/31/12,6/20/09,1,2,2,6,1,6,6,1,0.52,1,1,3.12,3,0
073112_04,7/31/12,8/15/08,2,2,2,5,2,6,6,1,1.84,2.05,0,3.96,3,0
073112_05,7/31/12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.64,3.57,1,NaN,NaN,0
073112_06,7/31/12,1/12/10,2,NaN,NaN,5,2,6,6,1,9.73,6.89,1,2.55,2,0
080112_01,8/1/12,11/25/08,1,2,6,6,1,6,4,1,0.56,1.05,1,3.68,3,0
080112_02,8/1/12,3/30/09,2,2,2,6,3,4,4,1,0.82,1.31,1,3.34,3,0
080112_03,8/1/12,12/21/08,1,2,5,5,1,6,2,1,0.31,0.55,1,3.61,3,0
080112_04,8/1/12,10/15/08,2,2,2,2,2,6,6,2,9.49,5.08,1,3.8,3,0
080112_05,8/1/12,7/6/11,1,1,5,5,2,3,4,1,0.45,0.74,1,1.07,1,0
080112_06,8/1/12,6/29/11,1,2,5,6,1,3,6,1,0.59,0.73,1,1.09,1,0
080112_07,8/1/12,9/4/09,1,1,5,5,2,6,4,1,0.32,1.21,1,2.91,2,0
080212_01,8/2/12,9/18/08,1,2,6,5,2,4,2,1,2,0.94,1,3.87,3,0
080212_02,8/2/12,3/3/09,1,2,5,6,1,3,3,1,1.42,2.84,1,3.42,3,0
080212_03,8/2/12,1/11/09,1,2,5,6,1,4,4,1,0.57,0.96,1,3.56,3,0
080212_04,8/2/12,11/10/09,1,2,6,5,2,6,4,1,1.12,1.11,1,2.73,2,0
080212_05,8/2/12,8/18/09,1,1,5,4,2,6,4,1,0.51,0.81,1,2.96,2,0
080212_06,8/2/12,12/26/07,2,1,5,4,2,3,2,1,0.54,0.54,1,4.61,4,0
080212_07,8/2/12,9/3/08,1,2,6,6,1,4,4,1,0.57,0.47,1,3.92,3,0
080212_08,8/2/12,3/27/10,2,1,2,2,2,1,1,1,0.59,0.89,1,2.35,2,0
080212_09,8/2/12,3/31/10,2,NaN,2,3,2,6,2,1,0.77,0.55,0,2.34,2,5
080212_10,8/2/12,8/1/08,1,2,NaN,NaN,NaN,NaN,NaN,NaN,0.89,0.8,1,4.01,4,0
080212_11,8/2/12,7/3/08,2,NaN,6,4,1,4,4,1,3.21,2.96,0,4.08,4,0
080212_12,8/2/12,5/9/08,2,2,5,6,2,6,6,1,0.48,0.55,1,4.24,4,0
080612_01,8/6/12,4/7/11,1,NaN,5,6,1,4,6,1,0.63,1.52,1,1.33,1,0
080612_02,8/6/12,5/20/08,2,NaN,5,6,1,4,6,1,1.34,1.05,1,4.22,4,0
080612_04,8/6/12,10/29/09,2,2,5,6,1,6,6,1,10.2,4.72,1,2.77,2,0
080612_05,8/6/12,6/9/08,1,2,5,6,1,3,2,1,0.91,1.06,1,4.16,4,0
080612_06,8/6/12,7/15/08,2,2,5,6,1,6,6,1,5.07,3.49,1,4.06,4,0
080612_07,8/6/12,3/10/10,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.86,0.25,1,2.41,2,5
080612_08,8/6/12,3/2/10,1,2,6,6,1,6,6,1,0.53,0.31,1,2.43,2,0
080612_09,8/6/12,4/8/11,2,2,6,6,1,6,6,1,0.18,0.63,1,1.33,1,0
080612_10,8/6/12,11/10/11,2,2,2,5,2,4,6,1,0.94,0.89,1,0.74,0,0
080612_11,8/6/12,1/14/10,1,2,2,5,2,4,6,1,0.37,0.77,1,2.56,2,0
080612_12,8/6/12,4/15/08,1,2,5,6,1,6,4,2,1.18,1.99,1,4.31,4,0
080612_13,8/6/12,1/4/09,2,2,5,3,2,4,4,1,0.4,1.05,1,3.59,3,0
080612_14,8/6/12,6/4/10,1,2,5,6,1,6,6,1,1.07,1.33,1,2.18,2,0
080612_15,8/6/12,12/20/08,2,2,5,6,2,6,3,1,0.37,0.69,1,3.63,3,0
080612_16,8/6/12,2/8/09,1,NaN,NaN,3,2,6,4,1,0.79,1.47,1,3.49,3,0
080612_17,8/6/12,3/4/10,1,2,5,6,2,5,3,1,1.76,1.56,1,2.43,2,0
080612_18,8/6/12,3/21/08,2,2,5,6,1,6,4,1,4.34,3.78,1,4.38,4,0
080612_19,8/6/12,10/28/08,1,2,5,6,1,4,5,1,1.73,0.77,1,3.78,3,0
080712_01,8/7/12,12/17/08,1,2,5,6,1,6,4,1,0.69,0.67,1,3.64,3,0
080712_02,8/7/12,7/21/09,1,2,5,6,1,6,6,1,1.02,2.12,1,3.05,3,0
080712_03,8/7/12,2/18/10,1,1,2,3,3,4,4,1,1.04,0.81,1,2.47,2,0
080712_04,8/7/12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.56,1.1,1,NaN,NaN,0
080712_05,8/7/12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,0
080712_06,8/7/12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,0
080712_07,8/7/12,4/10/10,1,2,5,6,1,6,6,1,2.95,1.86,1,2.33,2,0
080712_08,8/7/12,4/9/10,2,2,5,5,2,4,3,1,2.55,2.33,1,2.33,2,0
080712_09,8/7/12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,0
080712_10,8/7/12,4/22/09,1,1,NaN,6,1,3,NaN,1,0.71,0.74,0,3.3,3,0
080712_11,8/7/12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.77,1.28,1,NaN,NaN,0
080712_12,8/7/12,10/24/07,2,2,2,5,2,6,6,1,0.32,0.19,1,4.79,4,0
080812_01,8/8/12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,0
080812_02,8/8/12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,0
080812_03,8/8/12,7/31/09,1,2,5,6,1,6,3,1,2.83,1.75,1,3.02,3,0
080812_04,8/8/12,3/10/11,1,2,5,6,1,4,4,1,1.91,4.02,1,1.42,1,0
080812_05,8/8/12,12/9/08,1,2,5,6,1,6,4,1,0.47,1.52,1,3.67,3,0
080812_06,8/8/12,9/20/09,1,2,6,6,2,6,3,1,0.87,1.14,1,2.88,2,0
080812_07,8/8/12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,0
080812_08,8/8/12,11/6/08,2,2,5,6,1,6,4,1,0.33,0.43,1,3.76,3,0
080812_09,8/8/12,3/7/09,2,2,5,6,2,3,3,1,0.63,0.22,1,3.42,3,0
080912_01,8/9/12,10/16/10,2,2,6,4,2,6,6,2,0.31,1.16,1,1.82,1,0
080912_02,8/9/12,1/8/09,1,2,5,6,1,4,6,1,0.33,0.99,1,3.59,3,0
080912_03,8/9/12,6/15/10,1,1,5,3,3,6,6,1,7.59,2.74,1,2.15,2,0
080912_04,8/9/12,9/6/09,1,2,5,6,1,3,3,1,1.18,0.49,1,2.93,2,0
080912_05,8/9/12,9/24/09,2,1,5,6,1,4,3,2,3.09,2.03,1,2.88,2,0
080912_06,8/9/12,8/19/09,1,2,5,6,1,6,3,1,0.36,0.77,1,2.98,2,0
080912_07,8/9/12,9/6/10,1,1,5,3,2,6,2,1,2.09,1.51,1,1.93,1,0
080912_08,8/9/12,9/2/07,1,2,5,5,2,3,3,1,0.75,1.34,1,4.94,4,0
080912_09,8/9/12,4/2/11,2,2,5,5,1,3,3,1,0.98,0.89,1,1.36,1,0
080912_10,8/9/12,4/2/11,2,2,5,5,1,3,3,1,1.17,0.81,1,1.36,1,0
080912_11,8/9/12,9/3/08,2,2,5,5,2,5,6,1,2.31,2.05,1,3.93,3,5
080912_12,8/9/12,9/28/09,1,2,6,2,2,6,6,1,0.66,2.06,1,2.87,2,0
080912_13,8/9/12,3/17/09,1,2,2,4,3,4,4,1,0.46,0.65,1,3.4,3,0
080912_14,8/9/12,3/10/09,2,2,6,5,2,6,6,1,1.14,1.78,0,3.42,3,0
080912_15,8/9/12,3/23/08,1,1,5,6,1,5,4,1,3.53,5.56,1,4.38,4,0
080912_16,8/9/12,11/16/07,2,2,5,6,1,6,5,2,1.52,2.81,1,4.73,4,0
081312_0,8/13/12,11/24/08,2,2,5,6,1,4,4,1,1.22,4.46,1,3.72,3,0
081312_01,8/13/12,10/9/10,2,2,6,6,1,6,6,1,0.44,1.22,1,1.85,1,0
081312_02,8/13/12,5/1/10,2,2,5,6,1,5,4,1,0.69,2.15,0,2.29,2,0
081312_03,8/13/12,9/1/10,2,2,5,6,1,6,6,1,1.13,0.83,1,1.95,1,0
081312_04,8/13/12,11/9/09,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.66,5.63,1,2.76,2,0
081312_05,8/13/12,9/15/09,2,2,2,1,2,4,4,1,4.63,0.74,1,2.91,2,5
081312_06,8/13/12,7/12/11,1,2,5,6,1,6,6,1,2.1,2.6,1,1.09,1,1
081312_07,8/13/12,10/27/09,2,2,2,5,2,4,4,1,0.46,1.25,1,2.8,2,3
081312_08,8/13/12,6/21/11,2,NaN,5,6,1,6,3,1,6.12,4.23,2,1.15,1,0
081312_09,8/13/12,1/22/08,2,2,5,6,3,6,6,1,3.69,2.9,1,4.56,4,0
081312_11,8/13/12,4/13/11,1,2,2,5,2,5,5,1,1.82,2.06,1,1.34,1,0
081312_12,8/13/12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,0
081312_13,8/13/12,11/3/11,1,2,5,5,2,6,6,1,0.88,0.41,1,0.78,0,0
081312_14,8/13/12,6/17/11,1,2,6,5,2,6,6,1,2.32,7.67,1,1.16,1,0
081312_15,8/13/12,8/13/08,1,2,5,6,1,3,3,1,0.49,1.31,1,4,4,0
081312_16,8/13/12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,0
081312_17,8/13/12,9/16/10,1,2,4,6,1,4,6,1,1.15,1.96,1,1.91,1,0
081412_01,8/14/12,10/12/07,2,2,5,6,1,5,4,1,0.34,1.1,1,4.84,4,0
081412_02,8/14/12,4/6/10,2,2,6,5,3,4,5,1,0.56,1.04,1,2.36,2,5
081412_03,8/14/12,10/5/08,2,2,6,6,1,5,5,1,0.53,1.64,1,3.86,3,0
081412_04,8/14/12,4/29/10,2,2,2,6,1,4,4,1,0.41,0.15,1,2.3,2,0
081412_05,8/14/12,11/30/07,2,2,5,6,1,4,3,1,0.81,0.63,1,4.71,4,0
081412_06,8/14/12,1/8/11,2,2,6,5,1,6,5,1,0.23,1.24,1,1.6,1,0
081412_07,8/14/12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.61,1.05,1,NaN,NaN,0
081412_08,8/14/12,2/27/10,2,2,5,6,1,5,5,1,2.71,0.71,1,2.46,2,0
081412_09,8/14/12,12/29/10,2,2,6,5,1,4,3,1,0.87,1.61,1,1.63,1,0
081412_10,8/14/12,3/3/10,1,2,5,6,1,4,4,1,5.5,3.64,1,2.45,2,0
081512_01,8/15/12,6/25/08,2,2,2,4,2,4,4,1,0.19,0.56,1,4.14,4,0
081512_02,8/15/12,12/18/09,2,2,5,6,1,6,4,1,0.79,0.31,1,2.66,2,0
081512_03,8/15/12,2/12/10,1,2,2,3,2,6,6,1,1.35,1.63,1,2.51,2,0
081512_04,8/15/12,2/12/10,1,2,2,3,2,6,6,1,1.35,1.29,1,2.51,2,0
081512_05,8/15/12,1/21/08,2,2,5,5,2,6,4,1,0.64,0.21,1,4.57,4,0
081512_06,8/15/12,5/16/10,2,2,5,5,2,6,4,1,0.4,1.32,1,2.25,2,0
081512_07,8/15/12,6/28/08,2,2,5,5,2,4,6,2,1.64,1.35,1,4.13,4,0
081512_08,8/15/12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.54,0.54,1,NaN,NaN,0
081512_09,8/15/12,6/23/11,1,2,5,5,2,6,6,1,0.24,0.95,1,1.15,1,0
081512_10,8/15/12,6/10/09,2,2,2,5,4,4,4,1,1.14,0.85,1,3.18,3,5
081512_11,8/15/12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.18,2.08,1,NaN,NaN,0
081512_12,8/15/12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0
081512_13,8/15/12,9/23/08,1,2,5,6,1,3,2,1,0.72,1.31,1,3.9,3,0
081512_14,8/15/12,7/19/09,2,2,5,6,2,6,3,1,0.83,0.87,1,3.08,3,0
081512_15,8/15/12,9/6/07,2,2,5,5,2,5,4,1,2.74,3.1,1,4.95,4,0
081512_16,8/15/12,9/29/09,2,2,5,5,2,5,4,1,1.96,2.19,1,2.88,2,0
081512_17,8/15/12,12/31/08,2,2,5,6,1,6,4,1,0.78,1.49,1,3.62,3,0
081512_18,8/15/12,1/28/10,1,1,5,5,3,4,4,1,1.8,1.52,1,2.55,2,1
081512_19,8/15/12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.33,11.33,1,NaN,NaN,0
081512_20,8/15/12,7/30/11,1,2,2,5,2,4,4,1,5.44,2.62,1,1.05,1,0
081612_01,8/16/12,10/16/10,2,2,5,6,1,6,6,1,0.33,0.99,1,1.84,1,0
081612_02,8/16/12,4/5/10,2,2,5,2,2,4,6,1,3.09,3.29,1,2.37,2,0
081612_03,8/16/12,5/1/08,2,2,5,3,2,4,6,1,0.62,0.61,1,4.3,4,0
081612_04,8/16/12,10/3/09,2,2,6,4,2,6,5,1,2.39,4.18,1,2.87,2,0
081612_05,8/16/12,6/30/09,2,2,5,6,2,NaN,6,1,0.84,1.71,1,3.13,3,0
081612_06,8/16/12,12/9/08,2,2,5,6,1,6,4,1,0.6,1.04,1,3.69,3,0
081612_07,8/16/12,8/4/08,1,2,6,6,1,6,6,1,0.89,2.56,0,4.04,4,0
081612_08,8/16/12,9/4/10,2,2,2,5,3,6,3,1,1.04,2.32,0,1.95,1,0
081612_09,8/16/12,10/9/09,1,2,5,6,1,3,4,1,0.35,0.61,1,2.85,2,0
081612_10,8/16/12,8/2/08,2,2,6,5,2,6,6,1,5.79,2.7,1,4.04,4,0
081612_11,8/16/12,4/6/09,1,2,NaN,2,2,4,4,1,0.64,1.14,1,3.36,3,0
081612_12,8/16/12,3/16/10,2,2,6,4,2,6,4,2,0.61,1.04,1,2.42,2,0
081612_13,8/16/12,1/24/09,2,1,NaN,5,3,4,6,1,0.76,1.24,1,3.56,3,0
081612_14,8/16/12,11/11/10,2,2,5,6,1,4,5,1,0.4,0.83,1,1.76,1,0
